prediction_date,target_date,horizon,predicted,actual,error,abs_error,pct_error
2025-07-08,2025-07-10,2,684186.0410433336,658441,-25745.041043333593,25745.041043333593,3.9099996876460597
2025-07-08,2025-07-11,3,684186.0410433336,652589,-31597.041043333593,31597.041043333593,4.841797983621175
2025-07-08,2025-07-12,4,684186.0410433336,625809,-58377.04104333359,58377.04104333359,9.328252077444331
2025-07-08,2025-07-13,5,685984.1077269693,600056,-85928.10772696929,85928.10772696929,14.320014753117924
2025-07-08,2025-07-14,6,664414.8684286365,621921,-42493.86842863646,42493.86842863646,6.8326794606769115
2025-07-08,2025-07-15,7,664414.8684286365,596349,-68065.86842863646,68065.86842863646,11.413764159684423
2025-07-15,2025-07-16,1,545417.4562212491,557543,12125.543778750929,12125.543778750929,2.174817687380333
2025-07-15,2025-07-17,2,545417.4562212491,531820,-13597.456221249071,13597.456221249071,2.556777898771966
2025-07-15,2025-07-18,3,545417.4562212491,607709,62291.54377875093,62291.54377875093,10.250225647267182
2025-07-15,2025-07-19,4,545417.4562212491,594948,49530.54377875093,49530.54377875093,8.325188718804153
2025-07-15,2025-07-20,5,566487.1010048628,541151,-25336.10100486281,25336.10100486281,4.681891192081842
2025-07-15,2025-07-21,6,540784.0022543875,570477,29692.99774561252,29692.99774561252,5.204942135373121
2025-07-15,2025-07-22,7,540784.0022543875,603817,63032.99774561252,63032.99774561252,10.439089615829385
2025-07-22,2025-07-23,1,590766.2664593452,689735,98968.73354065476,98968.73354065476,14.348805489159572
2025-07-22,2025-07-24,2,590766.2664593452,1274993,684226.7335406548,684226.7335406548,53.66513647844771
2025-07-22,2025-07-25,3,590766.2664593452,687125,96358.73354065476,96358.73354065476,14.023464950431839
2025-07-22,2025-07-26,4,590766.2664593452,587447,-3319.2664593452355,3319.2664593452355,0.5650324981394468
2025-07-22,2025-07-27,5,589601.171975823,567765,-21836.171975823003,21836.171975823003,3.8459876843100584
2025-07-22,2025-07-28,6,563898.0732253477,580009,16110.926774652326,16110.926774652326,2.7777028933434353
2025-07-22,2025-07-29,7,563898.0732253477,577780,13881.926774652326,13881.926774652326,2.402631931643935
2025-07-29,2025-07-30,1,641334.4317221427,589554,-51780.43172214273,51780.43172214273,8.782983699905817
2025-07-29,2025-07-31,2,649467.82820328,553995,-95472.82820327999,95472.82820327999,17.233518028733112
2025-07-29,2025-08-01,3,625169.4299299596,764126,138956.5700700404,138956.5700700404,18.185033629275853
2025-07-29,2025-08-02,4,625169.4299299596,569653,-55516.42992995959,55516.42992995959,9.74565743179788
2025-07-29,2025-08-03,5,632406.1847657886,480429,-151977.1847657886,151977.1847657886,31.633640926294753
2025-07-29,2025-08-04,6,644126.6946162933,496858,-147268.6946162933,147268.6946162933,29.639996662284457
2025-07-29,2025-08-05,7,642084.9322823425,646544,4459.067717657541,4459.067717657541,0.6896773796767955
2025-08-05,2025-08-06,1,622849.0291908176,605591,-17258.029190817615,17258.029190817615,2.8497829708198466
2025-08-05,2025-08-07,2,631633.3817951046,641014,9380.618204895407,9380.618204895407,1.4634030153624424
2025-08-05,2025-08-08,3,636763.4444601438,674226,37462.5555398562,37462.5555398562,5.556379543336537
2025-08-05,2025-08-09,4,635701.9580938366,678392,42690.041906163446,42690.041906163446,6.292828026592804
2025-08-05,2025-08-10,5,635701.9580938366,642076,6374.041906163446,6374.041906163446,0.992723899688424
2025-08-05,2025-08-11,6,622849.0291908176,675231,52381.970809182385,52381.970809182385,7.757637135910879
2025-08-05,2025-08-12,7,622849.0291908176,739406,116556.97080918238,116556.97080918238,15.763595481938527
2025-08-12,2025-08-13,1,722571.4648539413,673853,-48718.46485394135,48718.46485394135,7.229835714012009
2025-08-12,2025-08-14,2,740002.987715693,633217,-106785.98771569296,106785.98771569296,16.864043087234386
2025-08-12,2025-08-15,3,739283.4044989315,594624,-144659.4044989315,144659.4044989315,24.32787854155424
2025-08-12,2025-08-16,4,739283.4044989315,597692,-141591.4044989315,141591.4044989315,23.689693771864352
2025-08-12,2025-08-17,5,739283.4044989315,556367,-182916.4044989315,182916.4044989315,32.87693276181576
2025-08-12,2025-08-18,6,703759.0588935622,552554,-151205.05889356218,151205.05889356218,27.364756909471687
2025-08-12,2025-08-19,7,703759.0588935622,595531,-108228.05889356218,108228.05889356218,18.173371141647067
2025-08-19,2025-08-20,1,576114.8107042364,741633,165518.18929576362,165518.18929576362,22.31807232091393
2025-08-19,2025-08-21,2,588909.3362965665,597704,8794.66370343347,8794.66370343347,1.4714078713599827
2025-08-19,2025-08-22,3,588189.753079805,600054,11864.246920194943,11864.246920194943,1.977196539010646
2025-08-19,2025-08-23,4,590315.2130431938,553058,-37257.2130431938,37257.2130431938,6.73658333180133
2025-08-19,2025-08-24,5,590315.2130431938,564234,-26081.2130431938,26081.2130431938,4.622410745044396
2025-08-19,2025-08-25,6,571116.7291818254,540023,-31093.729181825416,31093.729181825416,5.757852754757745
2025-08-19,2025-08-26,7,571116.7291818254,602716,31599.270818174584,31599.270818174584,5.242812671005015
2025-08-26,2025-08-27,1,714282.5420719326,584675,-129607.54207193258,129607.54207193258,22.167450647271146
2025-08-26,2025-08-28,2,714282.5420719326,623502,-90780.54207193258,90780.54207193258,14.559783620891768
2025-08-26,2025-08-29,3,715343.4908810867,575488,-139855.49088108668,139855.49088108668,24.302069005971745
2025-08-26,2025-08-30,4,715343.4908810867,581054,-134289.49088108668,134289.49088108668,23.111361574154326
2025-08-26,2025-08-31,5,711071.5668788675,575965,-135106.56687886745,135106.56687886745,23.457426558708853
2025-08-26,2025-09-01,6,707348.7626912454,594759,-112589.76269124541,112589.76269124541,18.930316765487433
2025-08-26,2025-09-02,7,706792.2709440277,555274,-151518.2709440277,151518.2709440277,27.287117881267207
2025-09-02,2025-09-03,1,749226.5173930683,605992,-143234.5173930683,143234.5173930683,23.636371007054265
2025-09-02,2025-09-04,2,747442.9558326484,341584,-405858.95583264844,405858.95583264844,118.8167349268843
2025-09-02,2025-09-05,3,748503.9046418025,196760,-551743.9046418025,551743.9046418025,280.41466997448794
2025-09-02,2025-09-06,4,748503.9046418025,171011,-577492.9046418025,577492.9046418025,337.6934259444144
2025-09-02,2025-09-07,5,744231.9806395833,111605,-632626.9806395833,632626.9806395833,566.8446580705016
2025-09-02,2025-09-08,6,747639.461889013,92446,-655193.461889013,655193.461889013,708.7310017621237
2025-09-02,2025-09-09,7,749226.5173930683,152175,-597051.5173930683,597051.5173930683,392.3453375344625
2025-09-09,2025-09-10,1,732982.0572906508,116980,-616002.0572906508,616002.0572906508,526.5874998210385
2025-09-09,2025-09-11,2,733931.3846872667,208460,-525471.3846872667,525471.3846872667,252.07300426329593
2025-09-09,2025-09-12,3,734337.6929532285,137293,-597044.6929532285,597044.6929532285,434.8689976570025
2025-09-09,2025-09-13,4,730079.8643871453,238844,-491235.86438714527,491235.86438714527,205.67226490393114
2025-09-09,2025-09-14,5,730079.8643871453,116622,-613457.8643871453,613457.8643871453,526.0224180576095
